AT2G46860
AT4G01480
AT2G18230
AT1G01050
AT3G53620
AT1G16780
AT5G09650
AT1G78920
AT1G15690
AT1G20630
AT1G20620
AT4G35090
ArthCp030
AT5G38420
AT5G38430
AT1G67090
AT5G38410
AT2G20690
AT5G53460
AT4G25434
AT1G18300
AT4G12720
AT2G04450
AT5G47650
AT5G20070
AT3G21070
AT1G21640
AT1G78590
AT3G54660
AT2G37250
AT5G47840
AT5G50370
AT5G63400
AT2G27490
AT1G67550
AT5G14740
AT3G01500
AT5G55810
AT5G18280
AT3G04080
AT4G23895
AT4G09320
AT5G63310
AT4G11010
AT4G23900
AT5G26667
AT2G42070
AT5G03430
AT5G23330
AT5G08340
AT5G37850
AT1G02500
AT3G17390
AT2G36880
AT4G01850
AT4G08040
AT1G01480
AT4G26200
AT4G37770
AT3G61510
AT5G65800
AT3G49700
AT4G11280
AT2G22810
AT5G03300
AT3G09820
AT1G55090
AT4G22570
AT1G27450
AT1G80050
AT4G13940
AT3G23810
AT3G55650
AT4G26390
AT5G56350
AT3G04050
AT3G52990
AT5G08570
AT5G63680
AT3G25960
AT3G55810
AT2G36580
AT1G32440
AT5G52920
AT3G22960
AT4G15530
AT1G01090
AT1G34430
AT3G25860
AT1G30120
AT3G16950
AT2G34590
AT4G16155
AT5G50850
AT3G13930
AT3G17240
AT1G48030
AT3G52200
AT1G24180
AT1G59900
AT1G54220
AT4G00570
AT2G13560
AT5G25880
AT2G19900
AT5G11670
AT1G79750
AT4G11640
AT5G01330
AT5G54960
AT4G33070
AT5G01320
AT5G36880
AT5G47720
AT5G48230
AT5G48880
AT2G33150
AT1G04710
AT2G39800
AT3G55610
AT1G51720
AT5G16570
AT1G48470
AT1G66200
AT5G37600
AT3G17820
AT5G35630
AT1G17290
AT1G70580
AT1G23310
AT1G72330
AT2G22910
AT2G37500
AT4G37670
AT5G49970
AT5G15490
AT3G29360
AT5G39320
AT1G26570
AT5G17310
AT3G03250
AT3G57550
AT2G41880
AT5G65690
AT4G37870
AT1G04410
AT5G56720
AT5G43330
AT3G47520
AT3G15020
AT1G53240
AT2G22780
AT5G09660
AT5G49460
AT3G06650
AT1G10670
AT1G60810
AT1G09430
AT5G19550
AT1G62800
AT2G22250
AT4G31990
AT5G11520
AT2G30970
AT2G13360
AT2G38400
AT4G39660
AT3G08860
AT2G20420
AT5G23250
AT5G08300
AT3G07270
AT5G64300
AT2G22450
AT5G59750
AT5G11880
AT3G14390
AT5G03860
AT3G14420
AT3G14415
AT3G14150
AT4G18360
AT5G14060
AT3G02020
AT5G13280
AT1G31230
AT4G19710
AT5G14760
AT5G22300
AT4G39940
AT2G14750
AT4G14930
AT1G72880
AT2G38680
AT5G14780
AT3G01910
AT1G79790
AT4G21470
AT4G08900
AT4G08870
AT2G34890
AT4G20320
AT4G02120
AT3G12670
AT1G30820
AT1G29900
AT3G27740
AT5G10240
AT3G47340
AT5G65010
AT1G18640
AT1G02880
AT2G44750
AT5G49810
AT3G22740
AT3G25900
AT3G63250
AT3G19710
AT3G10050
AT2G29560
AT2G36530
AT1G74030
AT4G17830
AT5G04230
AT3G53260
AT2G37040
AT3G10340
AT4G17260
AT1G44170
AT1G23800
AT4G36250
AT1G54100
AT4G34240
AT3G48000
AT5G10330
AT1G71920
AT5G53970
AT5G36160
AT2G24850
AT1G36160
AT1G36180
AT2G38040
AT5G16390
AT5G35360
AT5G15530
ArthCp031
AT1G08630
AT3G04520
AT1G77120
AT1G72680
AT4G37970
AT4G37980
AT2G21730
AT4G37990
AT3G19450
AT4G34230
AT4G39330
AT2G21890
AT1G77760
AT1G37130
AT3G52340
AT3G54270
AT2G35840
AT1G51420
AT2G41540
AT2G40690
AT5G40610
AT5G64370
AT2G16370
AT2G21550
AT4G34570
AT5G05980
AT3G55630
AT3G10160
AT1G50480
AT5G26780
AT4G13930
AT4G37930
AT4G13890
AT1G22020
AT1G36370
AT4G32520
AT5G17920
AT3G03780
AT5G20980
AT3G54470
AT3G53900
AT3G17810
AT2G21170
AT3G55440
AT2G42910
AT1G10700
AT2G35390
AT1G32380
AT1G71100
AT2G01290
AT3G04790
AT2G24270
AT1G13440
AT3G04120
AT1G16300
AT1G12900
AT1G42970
AT3G26650
AT1G79530
AT1G09795
AT1G58080
AT4G38880
AT2G16570
AT4G34740
AT5G17990
AT5G50950
AT2G47510
AT4G18440
AT1G36280
AT5G10920
AT3G54250
AT2G38700
AT5G16440
AT3G02780
AT2G35040
AT1G16350
AT1G79470
AT3G57610
AT5G63890
AT1G21400
AT3G06850
AT1G55510
AT5G09300
AT3G13450
AT3G12290
AT4G00600
AT4G00620
AT2G38660
AT2G26080
AT4G33010
AT1G32470
AT2G35370
AT1G11860
AT2G35120
AT2G46110
AT3G61530
AT1G71750
AT1G63660
AT5G14800
AT3G16190
AT2G22570
AT5G23230
AT5G23220
AT1G01710
AT1G77590
AT2G04350
AT2G47240
AT5G27600
AT3G05970
AT2G05710
AT4G35830
AT4G26970
AT5G47760
AT3G07630
AT1G11790
AT1G08250
AT2G35020
AT5G52560
AT3G62830
AT2G28760
AT3G46440
AT2G27860
AT1G08200
AT3G53520
AT2G47650
AT5G59290
AT1G68010
AT3G20330
AT1G75330
AT4G38800
AT4G34840
AT1G72810
AT4G29840
AT3G12780
AT1G79550
AT1G56190
AT1G17745
AT1G80380
AT1G09780
AT3G30841
AT4G09520
AT3G08590
AT1G22170
AT1G78050
AT1G32060
AT3G02360
AT1G64190
AT5G41670
AT1G63290
AT3G01850
AT5G61410
AT3G20040
AT1G50460
AT4G29130
AT2G19860
AT5G13930
AT1G15950
AT1G80820
AT1G65060
AT3G21240
AT3G21230
AT1G51680
AT2G45290
AT3G60750
AT5G47770
AT4G17190
AT2G34630
AT3G48540
AT5G53580
AT1G48850
AT5G10870
AT3G29200
AT1G69370
AT2G28880
AT1G74710
AT1G18870
AT2G23420
AT4G36940
AT2G16790
AT4G33510
AT4G39980
AT1G22410
AT4G26520
AT2G36460
AT3G52930
AT4G26530
AT4G38970
AT2G21330
AT5G03690
AT2G01140
AT3G55800
AT4G34050
AT4G26220
AT1G67980
AT5G48930
AT4G24830
AT4G11820
AT4G22930
AT1G13700
AT5G24420
AT5G24410
AT3G49360
